second,train_MSELoss,train_RMSE,train_PLCC,train_SROCC,test_MSELoss,test_RMSE,test_PLCC,test_SROCC
1,0.08085066303610802,0.28434251054532733,0.02246150444925609,0.03264455791645333,0.07178549617528915,0.26792815510824564,0.015835235657955707,0.007519419307215375
3,0.06792157236486673,0.26061767379820616,-0.0027598959012891753,-0.012215613764341932,0.07089395523071289,0.2662591903790058,0.07877879182007945,0.061646640032386006
5,0.07251965645700693,0.26929473652849617,-0.13299295310451956,-0.13673509948985663,0.0702171802520752,0.2649852496323904,0.1694923220823651,0.12672851058793974
7,0.06579226050525903,0.2565000215220169,0.05052067126547608,0.05392064159764309,0.07008021473884582,0.26472667888115753,0.24937172660832416,0.1846718402738149
9,0.06870902422815561,0.26212406349006173,-0.048921097224219584,-0.06371213900339273,0.06991366744041443,0.26441192400749103,0.3041967161230147,0.21522854538373215
11,0.06635924112051725,0.25760287642078267,0.030733737336894804,0.04122426035766377,0.06975683048367501,0.2641151857785869,0.3607260344169223,0.26144394052635006
13,0.07102187424898147,0.2664992963543897,-0.11153938958811085,-0.10178429964944719,0.0697495311498642,0.26410136410008883,0.4113780997400409,0.3005804734015768
14,0.06532297432422637,0.25558359483295684,0.04355899989788039,0.04532645090068028,0.0694551445543766,0.26354343828867466,0.43461458853259927,0.3094944937570036
16,0.06715974640101194,0.25915197546483326,-0.0026485209222232436,-0.02731352067029492,0.0692706674337387,0.2631932186128058,0.4555108704176007,0.32121383029659506
18,0.0657716527581215,0.25645984693212653,0.0307240034375245,0.049707511756630185,0.06911000162363053,0.2628878113529044,0.46614790186325467,0.3241671031045721
20,0.06480009146034718,0.2545586206884989,0.059281088664076796,0.05849449009688238,0.06897767037153243,0.2626360048705678,0.4740503419713418,0.32504605334504144
22,0.06645711157470942,0.25779276570615617,0.0008265278234840159,-0.0019028138103839118,0.06873781979084015,0.26217898512343446,0.46993857618375545,0.3133428308931919
23,0.06538860853761434,0.25571196524750617,0.04334773753387859,0.03034655575880186,0.0685009442269802,0.2617268491813589,0.48734000023491314,0.352282049497597
25,0.06295385174453258,0.2509060604089776,0.10497413587334332,0.09946791823528835,0.06817915812134742,0.2611113930770016,0.4883600091909384,0.35553390735278867
27,0.06697729267179967,0.2587997121650129,0.0018718464632945537,-0.011720541138870059,0.06769348680973053,0.2601797213243402,0.4918284242828339,0.36681669860628036
29,0.06528391242027283,0.25550716830325054,0.03427987199119074,0.03170108178632961,0.06747949495911598,0.2597681541982756,0.496924443605449,0.3921348602830002
31,0.06441772412508726,0.25380647127065636,0.04538580057906817,0.046160933233185084,0.06681901291012764,0.25849373801069836,0.49935716022310467,0.39894379481250286
33,0.06494013611227274,0.2548335457650149,0.05388670995913114,0.07176909693729147,0.06620757207274437,0.2573083211145971,0.5009272150859716,0.40538650007514326
34,0.06300214026123285,0.25100227167039907,0.11006400081302826,0.09725906577140539,0.0653767541050911,0.25568878259004696,0.5023461116491614,0.4115552658461708
36,0.061327336356043816,0.24764356608783789,0.15966385218519524,0.15445162701567147,0.0643668107688427,0.25370615090065896,0.5046752550974312,0.4234005852535629
38,0.06217963118106127,0.2493584406268719,0.13615173478233644,0.12612058675970952,0.06338977441191673,0.2517732588749013,0.5054861579362184,0.4259407514485193
40,0.0607006361708045,0.24637498889429416,0.18006070915573918,0.16136032773853584,0.062062568962574005,0.249123602301315,0.5099184911843673,0.43791205372371195
42,0.06163981724530458,0.2482736747483956,0.15470074508693607,0.14792879912650242,0.060511596500873566,0.24599105225286957,0.5131868305887572,0.446086290960077
43,0.05945341400802136,0.24383070762169776,0.21918844456631387,0.1842756213730795,0.0604163832962513,0.24579744513547389,0.5157180293671082,0.44904575234696953
45,0.05942638423293829,0.24377527361405657,0.2278254625326066,0.1978362625454591,0.05728015899658203,0.23933273493959328,0.51267839080537,0.44212515520969514
47,0.05873578898608685,0.24235467607097994,0.24901744430178696,0.19614083907531563,0.05711050853133202,0.2389780507904137,0.5158148956707843,0.4459837467653556
49,0.05713654924184084,0.23903252804314679,0.2885240803575121,0.25427140616040866,0.05547284856438637,0.2355267469693297,0.5147833069091758,0.44226871708230514
51,0.05781093742698431,0.24043905060258228,0.2787556800292411,0.23268736121358213,0.05466415286064148,0.23380366226808172,0.5169525095878073,0.4378329482020697
52,0.055325018242001534,0.23521270649648496,0.3333825438442576,0.28443870122560466,0.05532480552792549,0.2352122542065431,0.5219902552070199,0.4467425738062941
54,0.05578023344278336,0.2361783944493624,0.32982849242269136,0.27678517140527814,0.05495307967066765,0.23442073371699912,0.5266995105035555,0.4533332356927469
56,0.053138166479766366,0.23051717222807705,0.38360195374565553,0.3065072444311454,0.053255268931388856,0.23077103162871676,0.5278487860527801,0.44327658002470993
58,0.05376100968569517,0.23186420559727408,0.3733947776960562,0.32995027220926304,0.052099968492984775,0.22825417370058781,0.5297259055436812,0.4417838295329795
60,0.05311830248683691,0.23047407984646526,0.3894580090385489,0.3342842748443174,0.05243678689002991,0.22899080014101475,0.532473391839665,0.44665028403104484
62,0.051996094454079864,0.22802652176492783,0.4094227789600694,0.35728931326686264,0.05413557514548302,0.23267053089362144,0.5362503640377652,0.4571127217267651
63,0.054204242583364246,0.23281804494636346,0.3723033761098999,0.3112387929021601,0.05428560301661491,0.23299271236260097,0.5419914861034849,0.4634221195362677
65,0.05278356345370412,0.2297467406210191,0.402227810689159,0.3473088047773799,0.057727076858282086,0.24026459326338265,0.5455594548789104,0.4713736893783805
67,0.05414326842874288,0.23268706229757408,0.3827854619301989,0.3239271861464718,0.05045103132724762,0.22461306968729886,0.5448591371294593,0.46082189174154586
69,0.05245512221008539,0.22903083298375396,0.40387254779104903,0.3528032640552475,0.05151540488004684,0.22697005171963383,0.547627094660933,0.46396999851949355
71,0.05309668425470591,0.23042717845528643,0.39224921224932785,0.33263961748990656,0.052940082550048825,0.23008712476003498,0.5496087306695332,0.4654964421037754
73,0.05263500455766916,0.22942319860088972,0.4069483879064531,0.35570775878940175,0.05499230399727821,0.2345043823034528,0.5522705866159664,0.4704830198013715
75,0.051928541623055935,0.2278783490712411,0.4207140521067195,0.3691092122544231,0.05102011412382126,0.2258763242308592,0.5539652098656908,0.4708214156439523
76,0.051793097704648974,0.2275809695455455,0.4193515611316258,0.36535107773110576,0.05386599525809288,0.23209048822697478,0.5555706719256126,0.4701299747881164
78,0.050890618562698366,0.2255894913522506,0.4330977865785177,0.3809354556438612,0.05266768559813499,0.22949441507520693,0.5569348174057389,0.47638370574905586
80,0.05124968700110912,0.22638393747420202,0.4278487558888778,0.3831974502409383,0.05122256353497505,0.22632402364445203,0.558743524564503,0.4756571068836012
82,0.05124876163899898,0.22638189327691163,0.429433543185777,0.36806269326901164,0.04952467903494835,0.2225414087772781,0.5589952374059219,0.4766605750748037
84,0.0477770758792758,0.2185796789699462,0.48154037842005093,0.4260488584496155,0.052675993740558626,0.2295125144845214,0.5629965528339596,0.48750828595926304
86,0.052823666296899316,0.22983399774370383,0.40785850443799065,0.344191243419531,0.04985946342349053,0.22329232884213054,0.5629375929804695,0.47812695705932007
87,0.04868302084505558,0.22064229230633364,0.469089876289391,0.4241102016558063,0.05312239304184914,0.23048295653746242,0.5660164257107869,0.4919587040101729
89,0.04983236799016595,0.2232316486269756,0.45004968699314607,0.40514200785183363,0.04876061975955963,0.22081807062353234,0.5634666462592115,0.4771527872094665
91,0.051232552900910375,0.2263460915183476,0.4343472938367113,0.3784799780373608,0.052282334119081494,0.22865330989871457,0.5661737712614309,0.4833391319853035
93,0.05003687776625156,0.2236892432183023,0.4502630107677634,0.39995532673368495,0.0515887476503849,0.2271315665620653,0.5655618274835512,0.48012217410518554
95,0.049578907340765,0.22266321652329749,0.45495561379691996,0.40046898460982183,0.04924802705645561,0.221918964230174,0.5654325240257064,0.47444562046882094
97,0.04852509517222643,0.22028412303952233,0.4705585311798596,0.4179014004158038,0.05151905938982963,0.22697810532417717,0.569056723552692,0.48388701096852926
98,0.04983417028561234,0.22323568525114798,0.4524683810643175,0.3879286325001172,0.049643725901842115,0.22280871885242612,0.5684048798998895,0.47721870847750175
100,0.04879911616444588,0.2209052188797313,0.46795008565771645,0.4273941376282903,0.05011359006166458,0.22386065113203366,0.571259626637904,0.4827429107388516
102,0.048391232080757615,0.21998007095583352,0.47439808343460815,0.41371031194965596,0.05106092169880867,0.225966639366075,0.5723082620726228,0.4837317297593797
104,0.050285120494663715,0.22424343977686773,0.44617340360949287,0.4016050423890773,0.04911293387413025,0.22161437940029885,0.5702341161956588,0.4751985878414897
